mode,policy,answered,n,mean_l2_error,median_l2_error,rmse,mean_d_error,median_d_error,mean_trace,mean_logdet,mean_variance_dim_1,mean_variance_dim_2,mean_variance_dim_3,mean_variance_dim_4,mean_variance_dim_5,mean_variance_dim_6,mean_variance_reduction_dim_1,mean_variance_reduction_dim_2,mean_variance_reduction_dim_3,mean_variance_reduction_dim_4,mean_variance_reduction_dim_5,mean_variance_reduction_dim_6,mean_variance_step_reduction_dim_1,mean_variance_step_reduction_dim_2,mean_variance_step_reduction_dim_3,mean_variance_step_reduction_dim_4,mean_variance_step_reduction_dim_5,mean_variance_step_reduction_dim_6
carried,fixed,13,500,1.9764925653802494,1.900634694853776,2.0746286116721446,0.5359752567481431,0.4359182781487081,3.4408680380206915,-4.0406685495183075,0.5060541938704094,0.6816808298193561,0.5154936844169401,0.5203619653876354,0.5706610335709533,0.6466163309553972,0.49394580612959044,0.3183191701806439,0.48450631558305957,0.47963803461236476,0.4293389664290469,0.3533836690446027,0.001380137218015694,0.009596241415476811,0.024872462544641524,0.014434876685015946,0.007607139098287945,0.008631962162293807
carried,fixed,14,500,1.9130682620755608,1.8375471281113236,2.02204994722785,0.5194608682171195,0.4107522278962944,3.307853385441068,-4.282033725121388,0.5016063929602903,0.5930695909607875,0.5063868546144845,0.5161971065726536,0.5702524202796931,0.6203410200531614,0.4983936070397097,0.40693040903921257,0.4936131453855155,0.48380289342734634,0.4297475797203072,0.3796589799468393,0.004447800910119074,0.08861123885856877,0.009106829802456204,0.004164858814981995,0.00040861329126053994,0.026275310902236577
carried,fixed,15,500,1.8830158003585582,1.7983029279637694,1.9960988502058843,0.508303291897636,0.3935416387074089,3.236536008591837,-4.454259395737421,0.48695098811202314,0.5814567248297425,0.5050525265523399,0.5143118144700017,0.5678886919886331,0.5808752626390972,0.5130490118879769,0.41854327517025774,0.49494747344766005,0.4856881855299982,0.43211130801136666,0.419124737360903,0.01465540484826699,0.011612866131045067,0.0013343280621442423,0.001885292102651618,0.002363728291059629,0.03946575741406383
carried,fixed,16,500,1.8531980287519412,1.7367850061452497,1.9712202000935983,0.4968325491657303,0.3781148328749544,3.1493151415398057,-4.639580751013644,0.47293496551814423,0.5456202815418867,0.5040699045270399,0.5033475716078245,0.5643559004041632,0.5589865179407483,0.527065034481856,0.45437971845811365,0.49593009547295996,0.49665242839217555,0.43564409959583694,0.441013482059252,0.014016022593879242,0.03583644328785615,0.000982622025299985,0.010964242862177398,0.0035327915844699373,0.021888744698348953
carried,fixed,17,500,1.826884888803593,1.6944757641217856,1.9486662151307121,0.48731801928118307,0.3639567476120934,3.0819732731684772,-4.801193315121012,0.4720543557245326,0.536114156006002,0.4820823834636407,0.48805023101723016,0.5640776327141757,0.5395945142428971,0.5279456442754673,0.4638858439939976,0.5179176165363595,0.5119497689827699,0.4359223672858244,0.4604054857571031,0.0008806097936117544,0.009506125535883972,0.021987521063399403,0.015297340590594045,0.0002782676899876646,0.01939200369785158
carried,fixed,18,500,1.8084820275023807,1.7110685044758696,1.9344622252451154,0.4797487030309935,0.35047591619730467,3.032067078531261,-4.935433676157921,0.4697044827730707,0.5257742182725683,0.4777881866964265,0.46938693608731014,0.5539036488376443,0.5355096058642423,0.5302955172269291,0.47422578172743174,0.5222118133035738,0.5306130639126896,0.446096351162356,0.46449039413575754,0.0023498729514615825,0.01033993773343361,0.004294196767214047,0.018663294929920384,0.010173983876531754,0.004084908378654552
carried,fixed,19,500,1.7904900691861294,1.6793590217438827,1.9189637042419028,0.473739773942532,0.34189734132343197,2.994596875456263,-5.0466305916385155,0.44072484032947623,0.5223112195474553,0.4768124451405541,0.46665430054996404,0.5538720658108904,0.5342220040779245,0.5592751596705234,0.4776887804525444,0.5231875548594461,0.533345699450036,0.44612793418910945,0.46577799592207536,0.028979642443594314,0.0034629987251131276,0.0009757415558724258,0.0027326355373458976,3.158302675372782e-05,0.0012876017863180519
carried,fixed,20,500,1.7826840166504447,1.6618987641054228,1.9126062916987512,0.46854960517280553,0.3358324099812289,2.962339460618713,-5.14605057824623,0.4388305109290443,0.520680238523005,0.46847341245568275,0.4631737498468415,0.543786522621765,0.5273950262423764,0.5611694890709552,0.47931976147699523,0.5315265875443173,0.5368262501531581,0.45621347737823514,0.47260497375762356,0.0018943294004325562,0.0016309810244505298,0.008339032684871246,0.003480550703122703,0.010085543189125058,0.006826977835547967
available,random,0,500,2.7833272196448986,2.8496257706440167,2.834894859623717,1.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
available,random,1,485,2.6508981557939366,2.6777505377121726,2.707604981350095,0.9121273288723898,0.9225401213049025,5.577631495690163,-0.5524677428634223,0.9095922228298836,0.9378319997576845,0.9250661882738735,0.9157799110061595,0.9553008484882951,0.9340603253342649,0.0904077771701164,0.06216800024231582,0.07493381172612594,0.08422008899384088,0.04469915151170391,0.0659396746657338,0.0904077771701164,0.06216800024231582,0.07493381172612594,0.08422008899384088,0.04469915151170391,0.0659396746657338
